Year,SA3_CODE21,SA3_NAME21,Age Group,% DTP,% Polio,% HIB,% HEP,% MMR,% Pneumo,% MenC,% Varicella,% Fully
2022,30803,Rockhampton,2 Year olds,94.31895962,96.91991786,95.00342231,96.85147159,93.908282,96.23545517,96.30390144,94.31895962,93.2238193
2022,30901,Broadbeach - Burleigh,2 Year olds,88.66459627,93.01242236,89.9068323,93.01242236,89.59627329,91.92546584,92.23602484,89.7515528,88.04347826
2022,30902,Coolangatta,2 Year olds,87.27858293,91.30434783,88.4057971,91.14331723,86.79549114,89.53301127,90.01610306,87.27858293,86.47342995
2022,30903,Gold Coast - North,2 Year olds,89.76109215,94.02730375,91.80887372,93.51535836,90.44368601,92.15017065,92.15017065,90.78498294,88.73720137
2022,30904,Gold Coast Hinterland,2 Year olds,84.15841584,87.12871287,85.14851485,86.63366337,84.15841584,85.64356436,86.63366337,84.15841584,83.16831683
2022,30905,Mudgeeraba - Tallebudgera,2 Year olds,85.45918367,90.30612245,85.96938776,90.05102041,85.71428571,87.75510204,88.52040816,86.2244898,85.20408163
2022,30906,Nerang,2 Year olds,91.79292929,94.44444444,92.55050505,94.31818182,92.04545455,93.68686869,94.06565657,91.91919192,91.66666667
2022,30907,Ormeau - Oxenford,2 Year olds,91.65938865,94.75982533,92.57641921,94.75982533,91.92139738,93.79912664,94.01746725,92.13973799,90.87336245
2022,30908,Robina,2 Year olds,90.13035382,94.22718808,92.36499069,94.04096834,90.5027933,91.80633147,92.55121043,91.06145251,89.01303538
2022,30909,Southport,2 Year olds,90.64885496,93.70229008,91.79389313,93.70229008,91.22137405,92.55725191,93.12977099,91.60305344,89.88549618
2022,30910,Surfers Paradise,2 Year olds,86.11111111,90.27777778,87.84722222,90.27777778,86.45833333,89.23611111,88.88888889,87.5,84.375
2022,31001,Forest Lake - Oxley,2 Year olds,92.92279412,96.78308824,93.75,96.69117647,93.56617647,95.12867647,95.58823529,93.56617647,92.27941176
2022,31002,Ipswich Hinterland,2 Year olds,94.03409091,96.16477273,94.74431818,96.16477273,93.75,95.3125,95.88068182,94.31818182,93.32386364
2022,31003,Ipswich Inner,2 Year olds,93.93370857,96.24765478,94.49656035,96.31019387,94.246404,95.49718574,95.87242026,94.43402126,93.3083177
2022,31004,Springfield - Redbank,2 Year olds,91.24493927,96.20445344,92.76315789,96.20445344,91.59919028,94.83805668,94.83805668,91.75101215,90.3340081
2022,31101,Beaudesert,2 Year olds,88.88888889,94.73684211,88.30409357,94.73684211,87.71929825,94.73684211,94.73684211,88.88888889,87.13450292
2022,31102,Beenleigh,2 Year olds,89.21713442,94.53471196,90.5465288,94.68242245,89.66026588,93.20531758,93.35302806,90.25110783,88.183161
2022,31103,Browns Plains,2 Year olds,90.2284264,94.86040609,91.56091371,94.86040609,90.4822335,93.27411168,93.97208122,90.54568528,89.4035533
2022,31104,Jimboomba,2 Year olds,91.64149043,95.36757301,93.55488419,95.46827795,92.64853978,93.95770393,93.95770393,92.74924471,91.44008056
2022,31105,Loganlea - Carbrook,2 Year olds,90.97142857,95.2,92.22857143,95.31428571,91.42857143,94.28571429,95.2,91.77142857,89.82857143
2022,31106,Springwood - Kingston,2 Year olds,89.33566434,94.31818182,91.08391608,94.23076923,90.38461538,92.3951049,92.91958042,90.55944056,88.46153846
2022,31201,Bowen Basin - North,2 Year olds,89.90610329,93.89671362,91.07981221,93.89671362,90.84507042,93.66197183,93.42723005,90.84507042,89.20187793
2022,31202,Mackay,2 Year olds,94.16983523,97.02154626,94.55006337,97.08491762,94.48669202,96.45120406,96.76806084,94.3599493,93.72623574
2022,31203,Whitsunday,2 Year olds,93.13304721,97.4248927,94.42060086,97.85407725,93.99141631,95.70815451,96.56652361,93.99141631,93.13304721
2022,31301,Bribie - Beachmere,2 Year olds,91.91919192,94.94949495,93.43434343,94.94949495,93.43434343,94.44444444,94.94949495,93.43434343,91.41414141
2022,31302,Caboolture,2 Year olds,93.11627907,97.20930233,94.41860465,97.20930233,93.86046512,96.27906977,96.74418605,93.76744186,92.46511628
2022,31303,Caboolture Hinterland,2 Year olds,93.42105263,96.71052632,94.07894737,96.05263158,93.42105263,95.39473684,95.39473684,93.42105263,92.10526316
2022,31304,Narangba - Burpengary,2 Year olds,92.21621622,96,93.62162162,96,92.86486486,95.24324324,95.24324324,92.97297297,91.89189189
2022,31305,Redcliffe,2 Year olds,92.50457038,94.88117002,93.23583181,94.69835466,92.68738574,94.14990859,94.88117002,93.05301645,91.22486289
2022,31401,The Hills District,2 Year olds,96.02150538,97.6344086,96.55913978,97.6344086,96.23655914,96.88172043,96.88172043,96.34408602,95.80645161
2022,31402,North Lakes,2 Year olds,94.9339207,97.35682819,95.74155653,97.28340675,95.22760646,96.40234949,96.40234949,95.15418502,94.34654919
2022,31403,Strathpine,2 Year olds,93.66602687,96.35316699,94.24184261,96.54510557,93.85796545,95.00959693,95.77735125,93.85796545,93.09021113
2022,31501,Far North,2 Year olds,87.85046729,96.4953271,91.12149533,96.72897196,86.68224299,95.56074766,94.1588785,86.91588785,85.04672897
2022,31502,Outback - North,2 Year olds,87.73388773,95.84199584,89.6049896,95.63409563,88.35758836,95.01039501,94.8024948,88.77338877,86.27858628
2022,31503,Outback - South,2 Year olds,94.28571429,95.71428571,94.28571429,95.71428571,93.80952381,95.23809524,95.71428571,93.80952381,93.80952381
2022,31601,Buderim,2 Year olds,89.88764045,94.56928839,91.01123596,94.56928839,90.63670412,93.44569288,93.25842697,91.01123596,89.51310861
2022,31602,Caloundra,2 Year olds,91.12299465,94.75935829,92.0855615,94.75935829,91.44385027,93.36898396,93.5828877,91.55080214,91.01604278
2022,31603,Maroochy,2 Year olds,85.57692308,91.15384615,87.11538462,91.15384615,87.11538462,89.42307692,90.19230769,87.11538462,85
2022,31605,Noosa,2 Year olds,85.12396694,88.98071625,87.32782369,88.98071625,85.95041322,87.87878788,88.42975207,86.22589532,84.29752066
2022,31606,Sunshine Coast Hinterland,2 Year olds,86.34868421,90.625,87.5,90.625,86.34868421,89.14473684,89.30921053,86.34868421,85.69078947
2022,31701,Toowoomba,2 Year olds,93.30893884,96.28855201,94.24986932,96.2362781,93.36121275,94.98170413,95.45216937,93.67485625,92.36800836
2022,31801,Charters Towers - Ayr - Ingham,2 Year olds,92.61904762,96.66666667,94.52380952,96.66666667,92.85714286,95.95238095,95.71428571,92.61904762,91.9047619
2022,31802,Townsville,2 Year olds,94.12532637,96.91035683,94.95213229,97.04090513,94.60400348,96.30113142,97.04090513,94.73455178,93.64664926
2022,31901,Bundaberg,2 Year olds,94.36302142,97.51972943,95.49041714,97.51972943,94.81397971,96.61781285,96.61781285,95.15219842,93.57384442
2022,31902,Burnett,2 Year olds,91.26213592,94.95145631,91.84466019,94.95145631,90.87378641,94.17475728,94.5631068,91.06796117,90.09708738
2022,31903,Gympie - Cooloola,2 Year olds,86.93877551,90.6122449,88.36734694,90.81632653,87.34693878,90.20408163,90.81632653,87.55102041,86.73469388
2022,31904,Hervey Bay,2 Year olds,93.25153374,95.70552147,94.06952965,96.52351738,93.45603272,94.88752556,95.50102249,93.86503067,92.02453988
2022,31905,Maryborough,2 Year olds,92.89340102,95.93908629,93.90862944,95.93908629,92.1319797,94.41624365,96.44670051,92.63959391,91.62436548
2022,NM,Not mapped,5 Year olds,,,,,,,,,
2022,30101,Capalaba,5 Year olds,93.93617021,94.04255319,0,0,0,0,0,0,93.93617021
2022,30102,Cleveland - Stradbroke,5 Year olds,93.90495868,93.90495868,0,0,0,0,0,0,93.59504132
2022,30103,Wynnum - Manly,5 Year olds,94.35897436,94.15384615,0,0,0,0,0,0,94.15384615
2022,30201,Bald Hills - Everton Park,5 Year olds,94.20783646,94.20783646,0,0,0,0,0,0,93.86712095
2022,30202,Chermside,5 Year olds,96.10983982,95.99542334,0,0,0,0,0,0,95.88100686
2022,30203,Nundah,5 Year olds,96.48760331,96.48760331,0,0,0,0,0,0,96.48760331
2022,30204,Sandgate,5 Year olds,95.74742268,95.6185567,0,0,0,0,0,0,95.6185567
